%Mauricio Vueltiflor Gil 000131077
%Mario Becerra Contreras 000124362
%José Carlos Castro Montes 000127049    
%Aaron López Flores 000124432

q,m,n,fx,ban,iter, tiempo
1, 10,95, 135.536266, 0, 13, 0.112718
2, 16,23, 24.268092, 1, 9, 0.035636
3, 42,192, 506.566686, 0, 83, 2.601314
4, 33,42, 23.365845, 1, 91, 0.592720
5, 11,53, 97.384452, 0, 7, 0.033720
6, 34,45, 94.345757, 0, 82, 0.548288
7, 39,75, 7682.586290, 0, 108, 1.051660
8, 70,86, 200.249144, 0, 346, 5.157591
9, 30,79, 680.108268, 0, 69, 0.649661
10, 13,81, 65.922838, 0, 20, 0.150350
11, 14,58, 122.380706, 0, 11, 0.062177
12, 25,156, 3453.957474, 0, 31, 0.594652
13, 27,195, 573.674181, 0, 45, 1.245744
14, 16,149, 180.927523, 0, 19, 0.273063
15, 34,48, 13733.670419, 0, 105, 0.741993
16, 40,119, 29654.616341, 0, 187, 2.934053
17, 31,47, 495.983297, 0, 146, 0.976908
18, 36,54, 8477.322704, 0, 124, 0.951358
19, 62,65, 41.727642, 1, 335, 3.665800
20, 26,101, 90.084796, 0, 31, 0.315117
21, 34,196, 6671.593882, 0, 104, 3.095306
22, 29,86, 657.952379, 0, 81, 0.782299
23, 37,84, 61246.810123, 0, 135, 1.410968
24, 20,55, 64.763264, 0, 39, 0.238761
25, 60,167, 1370.907486, 0, 326, 9.953227
26, 21,57, 178.074116, 0, 45, 0.301227
27, 73,129, 136.724538, 0, 324, 8.430005
28, 26,80, 244.099546, 0, 63, 0.589638
29, 11,35, 1548.271399, 0, 19, 0.081928
30, 39,114, 809.323493, 0, 118, 1.729344
31, 33,152, 5390.468345, 0, 54, 1.075833
32, 15,38, 313.086532, 0, 23, 0.112145
33, 44,78, 339.515962, 0, 145, 1.575489
34, 51,191, 850.370962, 0, 243, 8.818378
35, 69,75, 266.264618, 1, 472, 6.287937
36, 95,95, 104.606179, 2, 500, 11.758888
37, 15,73, 179.855572, 0, 34, 0.250787
38, 66,79, 156.927264, 2, 500, 6.554766
39, 54,185, 543.425246, 0, 401, 14.139443
